mes,mpio,fecha,hora,victima,sexo_v,edad_v,parentesco,edo_civil_v,ocupacion_v,escolaridad_v,agresor,sexo_a,edad_a,edo_civil_a,ocupacion_a,escolaridad_a,pob
1,46,2017/12/26,22,1,F,46,EXESPOSO (A),DIVORCIADO,EMPLEADO,PREPARATORIA,1.0,M,42,NE,NE,NE,430143
1,46,2017/12/28,22,1,M,33,ESPOSO (A),CASADO,CHOFER,PREPARATORIA,1.0,F,21 a 25,NE,NE,NE,430143
1,46,2017/12/27,22,1,F,64,NINGUNO,CASADO,EMPLEADO,PRIMARIA,1.0,M,64,CASADO,PENSIONADO,PREPARATORIA,430143
1,46,2017/12/28,9,1,F,48,ESPOSO (A),CASADO,HOGAR,SECUNDARIA,1.0,M,54,DIVORCIADO,EMPLEADO,TÉCNICO / COMERCIO,430143
1,46,2017/12/23,0,1,M,54,NINGUNO,DIVORCIADO,EMPLEADO,PREPARATORIA,1.0,F,48,CASADO,HOGAR,SECUNDARIA,430143
1,39,2017/12/25,18,3,M F F,7 10 34,PADRE PADRASTRO NINGUNO,SOLTERO SOLTERO UNIÓN LIBRE,SIN OFICIO SIN OFICIO HOGAR,PRIMARIA PRIMARIA SECUNDARIA,1.0,M,34,CASADO,SIN OFICIO,SECUNDARIA,1109171
1,6,2018/01/03,0,1,M,62,PADRE,CASADO,EMPLEADO,PRIMARIA,1.0,M,32,SOLTERO,PRESTADOR DE SERVICIOS,SECUNDARIA,597207
1,6,2017/12/26,0,1,F,31,ESPOSO (A),UNIÓN LIBRE,SIN OFICIO,SECUNDARIA,1.0,M,31,UNIÓN LIBRE,SIN OFICIO,SECUNDARIA,597207
1,12,2017/12/28,1,1,M,29,NINGUNO,CASADO,EMPLEADO,SECUNDARIA,1.0,F,39,UNIÓN LIBRE,NE,SECUNDARIA,42715
1,10,2017/12/30,0,1,M,26,ESPOSO (A),CASADO,EMPLEADO,SECUNDARIA,1.0,F,26,CASADO,EMPLEADO,SECUNDARIA,38306
1,10,2017/12/31,5,1,F,36,NINGUNO,CASADO,SIN OFICIO,SECUNDARIA,1.0,M,32,CASADO,SIN OFICIO,PRIMARIA,38306
1,10,2017/12/14,8,1,F,50,ESPOSO (A),CASADO,EMPLEADO,SECUNDARIA,1.0,M,56,NE,NE,PRIMARIA,38306
1,10,2017/11/28,20,1,F,40,CONCUBINO (A),UNIÓN LIBRE,EMPLEADO,TÉCNICO / COMERCIO,1.0,M,46 a 50,NE,NE,NE,38306
1,21,2017/12/30,18,1,F,41,CONCUBINO (A),UNIÓN LIBRE,HOGAR,NINGUNA,1.0,M,40,UNIÓN LIBRE,SIN OFICIO,NINGUNA,425148
1,21,2017/12/27,16,1,F,60,NINGUNO,CASADO,EMPLEADO,PRIMARIA,1.0,M,59,CASADO,NE,PRIMARIA,425148
1,21,2017/12/10,19,1,F,34,ESPOSO (A),CASADO,HOGAR,SECUNDARIA,1.0,M,34,CASADO,NE,SECUNDARIA,425148
1,21,2017/12/24,20,1,M,43,CONCUBINO (A),UNIÓN LIBRE,HOGAR,PRIMARIA,1.0,M,36,SOLTERO,NE,PRIMARIA,425148
1,21,2017/11/02,0,1,M,80,PADRE,CASADO,PRESTADOR DE SERVICIOS,PREPARATORIA,1.0,M,46 a 50,NE,NE,NE,425148
1,21,2017/12/27,20,1,F,34,ESPOSO (A),CASADO,COMERCIANTE,SECUNDARIA,1.0,M,37,CASADO,EMPLEADO,SECUNDARIA,425148
1,21,2017/12/24,19,1,M,36,NINGUNO,UNIÓN LIBRE,VENDEDOR(A),LICENCIATURA,1.0,F,31 a 35,NE,NE,NE,425148
1,21,2017/12/31,20,1,M,32,ESPOSO (A),CASADO,SIN OFICIO,SECUNDARIA,1.0,F,29,CASADO,NE,PRIMARIA,425148
1,21,2017/12/22,22,1,F,32,CONCUBINO (A),UNIÓN LIBRE,COMERCIANTE,TÉCNICO / COMERCIO,1.0,M,50,UNIÓN LIBRE,NE,SECUNDARIA,425148
1,21,2017/12/27,20,1,F,27,NINGUNO,SEPARADO,EMPLEADO,PRIMARIA,1.0,M,35,SOLTERO,EMPLEADO,SECUNDARIA,425148
1,21,2017/12/28,8,1,F,28,CONCUBINO (A),UNIÓN LIBRE,HOGAR,SECUNDARIA,1.0,M,51,UNIÓN LIBRE,SIN OFICIO,NINGUNA,425148
1,21,2017/12/25,8,1,F,28,NINGUNO,CASADO,EMPLEADO,SECUNDARIA,1.0,M,40,CASADO,DESEMPLEADO,SECUNDARIA,425148
1,18,2017/12/30,2,1,F,37,CONCUBINO (A),UNIÓN LIBRE,HOGAR,SECUNDARIA,1.0,M,43,CASADO,NE,SECUNDARIA,247370
1,18,2017/12/30,21,1,F,40,NINGUNO,UNIÓN LIBRE,JORNALERO,PRIMARIA,1.0,M,40,UNIÓN LIBRE,SIN OFICIO,PRIMARIA,247370
1,18,2017/12/29,20,1,F,35,UNION LIBRE,UNIÓN LIBRE,EMPLEADA DOMESTICA,SECUNDARIA,1.0,M,36 a 40,NE,NE,NE,247370
1,18,2018/01/02,21,1,F,28,ESPOSO (A),CASADO,HOGAR,TÉCNICO / COMERCIO,1.0,M,27,CASADO,PRESTADOR DE SERVICIOS,SECUNDARIA,247370
1,18,2017/12/31,17,1,F,27,NINGUNO,CASADO,HOGAR,SECUNDARIA,1.0,M,27,CASADO,DESEMPLEADO,SECUNDARIA,247370
1,18,2018/01/01,1,1,F,30,ESPOSO (A),CASADO,OBRERO,PREPARATORIA,1.0,M,26 a 30,NE,NE,NE,247370
1,18,2017/01/03,1,1,F,28,CONCUBINO (A),UNIÓN LIBRE,HOGAR,TÉCNICO / COMERCIO,1.0,M,24,UNIÓN LIBRE,EMPLEADO,TÉCNICO / COMERCIO,247370
1,26,2017/12/29,17,1,M,59,NINGUNO,UNIÓN LIBRE,SIN OFICIO,LICENCIATURA,1.0,F,37,UNIÓN LIBRE,HOGAR,ANALFABETA,682880
1,26,2018/01/02,13,1,F,29,NINGUNO,CASADO,COMERCIANTE,TÉCNICO / COMERCIO,1.0,M,31 a 35,NE,NE,NE,682880
1,26,2017/12/26,16,1,F,20,ESPOSO (A),CASADO,HOGAR,SECUNDARIA,1.0,M,21,CASADO,NE,SECUNDARIA,682880
1,26,2017/09/29,10,1,M,39,CONCUBINO (A),SOLTERO,SIN OFICIO,LICENCIATURA,1.0,F,42,DIVORCIADO,COMERCIANTE,PREPARATORIA,682880
1,26,2017/04/01,0,1,F,44,NINGUNO,CASADO,ENFERMERO (A),TÉCNICO / COMERCIO,1.0,M,45,CASADO,NE,NE,682880
1,26,2017/12/20,0,1,M,41,NINGUNO,SOLTERO,EMPLEADO,SECUNDARIA,1.0,F,42,UNIÓN LIBRE,SIN OFICIO,PRIMARIA,682880
1,26,2017/12/29,17,1,F,29,NINGUNO,CASADO,EMPLEADO,PREPARATORIA,1.0,M,27,NE,NE,NE,682880
1,31,2017/12/27,6,1,F,44,CONCUBINO (A),CASADO,EMPLEADA DOMESTICA,PRIMARIA,1.0,M,41,UNIÓN LIBRE,NE,SECUNDARIA,333481
1,31,2018/01/01,1,1,M,42,ESPOSO (A),CASADO,JORNALERO,PRIMARIA,1.0,F,42,CASADO,HOGAR,SECUNDARIA,333481
1,31,2018/01/01,19,1,F,30,ESPOSO (A),CASADO,SIN OFICIO,SECUNDARIA,1.0,M,33,CASADO,EMPLEADO,NE,333481
1,31,2017/12/23,9,1,F,30,NINGUNO,SOLTERO,HOGAR,PREPARATORIA,1.0,M,37,UNIÓN LIBRE,EMPLEADO,LICENCIATURA,333481
1,33,2017/12/29,3,1,F,33,NINGUNO,CASADO,EMPLEADO,PREPARATORIA,2.0,M M,36 48,CASADO DIVORCIADO,NE EMPLEADO,NE TÉCNICO / COMERCIO,79853
1,38,2017/12/27,8,1,F,42,ESPOSO (A),CASADO,COMERCIANTE,TÉCNICO / COMERCIO,1.0,M,39,CASADO,EMPLEADO,POSGRADO,60829
1,39,2017/12/29,21,1,F,25,CONCUBINO (A),UNIÓN LIBRE,HOGAR,SECUNDARIA,1.0,M,30,UNIÓN LIBRE,CHOFER,SECUNDARIA,1109171
1,39,2017/12/31,19,1,M,28,PADRE,CASADO,EMPLEADO,SECUNDARIA,1.0,M,51,UNIÓN LIBRE,TAXISTA,SECUNDARIA,1109171
1,39,2017/11/28,15,1,M,60,ESPOSO (A),CASADO,COMERCIANTE,PREPARATORIA,1.0,F,58,CASADO,SIN OFICIO,PREPARATORIA,1109171
1,39,2017/12/29,0,1,F,42,NINGUNO,CASADO,EMPLEADO,PREPARATORIA,1.0,M,48,CASADO,NE,LICENCIATURA,1109171
1,39,2017/12/27,19,1,F,29,CONCUBINO (A),SOLTERO,MAESTRO(A),LICENCIATURA,1.0,M,36,DIVORCIADO,TAXISTA,SECUNDARIA,1109171
1,39,2017/12/26,10,1,F,51,NINGUNO,CASADO,HOGAR,LICENCIATURA,1.0,F,18 a 20,SOLTERO,NE,SECUNDARIA,1109171
1,39,2017/12/31,9,1,F,24,NINGUNO,UNIÓN LIBRE,HOGAR,SECUNDARIA,1.0,M,26,UNIÓN LIBRE,NE,SECUNDARIA,1109171
1,44,2018/01/02,14,1,F,41,NINGUNO,CASADO,EMPLEADA DOMESTICA,SECUNDARIA,1.0,M,46 a 50,CASADO,EMPLEADO,SECUNDARIA,35456
1,45,2017/12/31,13,1,F,22,NINGUNO,SOLTERO,COMERCIANTE,SECUNDARIA,1.0,M,21 a 25,SOLTERO,NE,NE,54192
1,46,2018/01/02,0,1,F,38,NINGUNO,CASADO,SIN OFICIO,SECUNDARIA,1.0,M,36 a 40,NE,NE,NE,430143
1,46,2017/12/30,4,1,F,27,NINGUNO,UNIÓN LIBRE,SIN OFICIO,PREPARATORIA,1.0,M,29,UNIÓN LIBRE,SIN OFICIO,PRIMARIA,430143
1,46,2017/02/08,11,1,M,37,CONCUBINO (A),SOLTERO,HOGAR,PREPARATORIA,1.0,M,38,SOLTERO,NE,PRIMARIA,430143
1,19,2017/12/26,14,1,M,46,ESPOSO (A),CASADO,DESEMPLEADO,LICENCIATURA,1.0,F,42,CASADO,NE,TÉCNICO / COMERCIO,123156
1,48,2017/12/01,3,1,F,54,EXESPOSO (A),DIVORCIADO,HOGAR,PREPARATORIA,2.0,M M,29 58,CASADO DIVORCIADO,EMPLEADO TAXISTA,SECUNDARIA LICENCIATURA,296954
1,48,2017/12/29,20,1,F,18,NINGUNO,UNIÓN LIBRE,HOGAR,PRIMARIA,1.0,F,51,SOLTERO,DESEMPLEADO,SECUNDARIA,296954
1,48,2018/01/01,2,1,F,33,ESPOSO (A),CASADO,HOGAR,TÉCNICO / COMERCIO,1.0,M,35,CASADO,EMPLEADO,PREPARATORIA,296954
1,48,2017/12/30,22,1,F,36,EXESPOSO (A),SOLTERO,EMPLEADO,SECUNDARIA,1.0,M,34,SOLTERO,OPERARIO,SECUNDARIA,296954
1,21,2017/12/30,20,2,M F,11 45,HIJO(A) ESPOSO (A),SOLTERO CASADO,SIN OFICIO COMERCIANTE,PRIMARIA SECUNDARIA,1.0,M,38,CASADO,NE,SECUNDARIA,425148
1,31,2017/12/31,23,2,F F,13 35,PADRASTRO CONCUBINO (A),SOLTERO UNIÓN LIBRE,ESTUDIANTE EMPLEADO,SECUNDARIA SECUNDARIA,1.0,M,31 a 35,NE,NE,NE,333481
1,39,2017/12/31,23,3,M F F,48 49 66,CONCUÑA(O) HERMANO (A) HIJO(A),DIVORCIADO CASADO CASADO,EMPLEADO COMERCIANTE HOGAR,LICENCIATURA LICENCIATURA PRIMARIA,3.0,M F M,23 39 36 a 40,SOLTERO UNIÓN LIBRE UNIÓN LIBRE,DESEMPLEADO HOGAR SIN OFICIO,PRIMARIA PREPARATORIA NE,1109171
1,9,2018/01/03,23,1,F,34,NINGUNO,CASADO,HOGAR,SECUNDARIA,1.0,M,51,CASADO,CHOFER,PREPARATORIA,95534
1,21,2018/01/02,13,1,F,24,CONCUBINO (A),CASADO,HOGAR,PRIMARIA,1.0,M,28,UNIÓN LIBRE,SIN OFICIO,PRIMARIA,425148
1,21,2017/12/25,2,1,F,33,CONCUBINO (A),SOLTERO,EMPLEADO,SECUNDARIA,1.0,M,34,UNIÓN LIBRE,EMPLEADO,SECUNDARIA,425148
1,18,2018/01/03,14,1,F,43,NINGUNO,CASADO,HOGAR,SECUNDARIA,1.0,M,24,SOLTERO,SIN OFICIO,SECUNDARIA,247370
1,18,2018/01/04,6,1,F,33,CONCUBINO (A),UNIÓN LIBRE,HOGAR,SECUNDARIA,1.0,M,35,UNIÓN LIBRE,EMPLEADO,PREPARATORIA,247370
1,26,2018/01/04,4,1,F,35,CONCUBINO (A),UNIÓN LIBRE,HOGAR,PREPARATORIA,1.0,M,32,SOLTERO,CHOFER,SECUNDARIA,682880
1,26,2018/01/02,17,1,F,26,ESPOSO (A),CASADO,HOGAR,PREPARATORIA,1.0,M,25,CASADO,NE,NE,682880
1,31,2017/12/30,14,1,F,32,CONCUBINO (A),UNIÓN LIBRE,HOGAR,SECUNDARIA,1.0,M,31 a 35,NE,NE,NE,333481
1,31,2017/12/28,21,1,F,52,ESPOSO (A),UNIÓN LIBRE,COMERCIANTE,SECUNDARIA,1.0,M,44,UNIÓN LIBRE,SIN OFICIO,PRIMARIA,333481
1,31,2017/12/29,15,1,F,22,NINGUNO,UNIÓN LIBRE,HOGAR,PRIMARIA,1.0,M,26 a 30,UNIÓN LIBRE,SIN OFICIO,SECUNDARIA,333481
1,31,2017/12/27,11,1,F,43,ESPOSO (A),CASADO,MAESTRO(A),LICENCIATURA,1.0,M,31 a 35,CASADO,NE,NE,333481
1,31,2017/12/29,23,1,F,35,ESPOSO (A),CASADO,HOGAR,PREPARATORIA,1.0,M,26 a 30,NE,NE,NE,333481
1,39,2017/12/31,23,1,M,75,PADRE,CASADO,PENSIONADO,SECUNDARIA,1.0,M,23,UNIÓN LIBRE,DESEMPLEADO,PREPARATORIA,1109171
1,39,2018/01/02,21,1,F,57,NINGUNO,CASADO,PRESTADOR DE SERVICIOS,POSGRADO,1.0,M,56,CASADO,NE,LICENCIATURA,1109171
1,39,2018/01/01,17,1,F,26,ESPOSO (A),CASADO,HOGAR,LICENCIATURA,1.0,M,28,CASADO,COMERCIANTE,PREPARATORIA,1109171
1,39,2017/12/31,17,1,M,30,NINGUNO,UNIÓN LIBRE,HOGAR,SECUNDARIA,1.0,M,34,SOLTERO,NE,PRIMARIA,1109171
1,39,2017/12/30,15,1,F,26,CONCUBINO (A),CASADO,HOGAR,SECUNDARIA,1.0,M,25,CASADO,EMPLEADO,SECUNDARIA,1109171
1,48,2017/01/02,9,1,F,33,ESPOSO (A),CASADO,EMPLEADO,SECUNDARIA,1.0,M,37,CASADO,NE,SECUNDARIA,296954
1,48,2017/01/01,13,1,F,61,NINGUNO,UNIÓN LIBRE,HOGAR,PRIMARIA,1.0,M,64,UNIÓN LIBRE,ALBAÑIL,PRIMARIA,296954
1,48,2018/01/04,1,1,F,25,CONCUBINO (A),UNIÓN LIBRE,HOGAR,SECUNDARIA,1.0,M,40,CASADO,PRESTADOR DE SERVICIOS,PREPARATORIA,296954
1,49,2018/01/03,23,1,F,35,NINGUNO,CASADO,HOGAR,PREPARATORIA,1.0,M,31 a 35,NE,NE,NE,42407
1,4,2018/01/04,9,1,F,23,ESPOSO (A),CASADO,HOGAR,SECUNDARIA,1.0,M,21 a 25,NE,NE,PREPARATORIA,34353
1,6,2017/12/26,12,1,F,46,ESPOSO (A),CASADO,HOGAR,TÉCNICO / COMERCIO,1.0,M,50,CASADO,PROFESIONISTA,LICENCIATURA,597207
1,12,2017/12/27,23,1,F,39,NINGUNO,CASADO,HOGAR,SECUNDARIA,1.0,M,29,CASADO,EMPLEADO,SECUNDARIA,42715
1,10,2017/01/04,16,1,F,43,ESPOSO (A),CASADO,EMPLEADO,SECUNDARIA,1.0,M,46,CASADO,NE,PRIMARIA,38306
1,21,2017/12/30,19,1,M,38,ESPOSO (A),CASADO,EMPLEADO,SECUNDARIA,1.0,F,45,CASADO,COMERCIANTE,SECUNDARIA,425148
1,21,2018/01/04,17,1,F,57,ESPOSO (A),CASADO,HOGAR,PRIMARIA,1.0,M,59,NE,NE,NE,425148
1,21,2017/11/30,18,1,F,53,ESPOSO (A),CASADO,HOGAR,SECUNDARIA,1.0,M,51 a 55,NE,NE,NE,425148
1,21,2017/12/26,1,1,F,25,CONCUBINO (A),SOLTERO,HOGAR,SECUNDARIA,1.0,M,27,UNIÓN LIBRE,NE,SECUNDARIA,425148
1,18,2017/12/29,17,1,F,34,ESPOSO (A),CASADO,EMPLEADO,TÉCNICO / COMERCIO,1.0,M,33,CASADO,NE,SECUNDARIA,247370
1,18,2017/12/28,1,1,F,19,CONCUBINO (A),UNIÓN LIBRE,DESEMPLEADO,SECUNDARIA,1.0,M,NE,NE,NE,NE,247370
1,18,2018/01/02,13,1,M,29,CONCUBINO (A),UNIÓN LIBRE,HOGAR,SECUNDARIA,1.0,M,NE,UNIÓN LIBRE,NE,NE,247370
1,18,2018/01/03,14,1,F,25,ESPOSO (A),CASADO,HOGAR,PREPARATORIA,1.0,M,24,CASADO,OBRERO,PREPARATORIA,247370
1,26,2018/01/03,20,1,F,23,NINGUNO,SOLTERO,EMPLEADO,SECUNDARIA,1.0,M,21 a 25,NE,NE,NE,682880
1,26,2018/01/04,18,1,F,39,EXESPOSO (A),DIVORCIADO,EMPLEADO,TÉCNICO / COMERCIO,1.0,M,36 a 40,NE,NE,NE,682880
1,26,2018/01/04,18,1,F,42,NINGUNO,UNIÓN LIBRE,EMPLEADO,SECUNDARIA,1.0,M,22,NE,NE,NE,682880
1,26,2018/01/01,13,1,F,28,NINGUNO,CASADO,MAESTRO(A),LICENCIATURA,1.0,M,26 a 30,NE,NE,NE,682880
1,31,2018/01/03,7,1,F,38,ESPOSO (A),CASADO,EMPLEADO,PREPARATORIA,1.0,M,31 a 35,CASADO,NE,NE,333481
1,31,2018/01/02,20,1,F,23,ESPOSO (A),CASADO,HOGAR,PREPARATORIA,1.0,M,31 a 35,NE,NE,NE,333481
1,39,2018/01/03,2,1,F,23,NINGUNO,UNIÓN LIBRE,HOGAR,PREPARATORIA,1.0,M,20,UNIÓN LIBRE,SIN OFICIO,PREPARATORIA,1109171
1,39,2017/12/09,0,1,F,44,NINGUNO,DIVORCIADO,EMPLEADO,TÉCNICO / COMERCIO,1.0,M,46 a 50,CASADO,NE,NE,1109171
1,39,2017/12/31,11,1,F,26,CONCUBINO (A),UNIÓN LIBRE,HOGAR,PRIMARIA,1.0,M,26,UNIÓN LIBRE,TAXISTA,PREPARATORIA,1109171
1,39,2018/01/01,1,1,F,37,NINGUNO,CASADO,EMPLEADO,PRIMARIA,1.0,M,42,CASADO,EMPLEADO,SECUNDARIA,1109171
1,46,2018/01/04,12,1,F,67,MADRE,CASADO,HOGAR,SECUNDARIA,1.0,M,43,CASADO,SIN OFICIO,SECUNDARIA,430143
1,46,2017/11/13,12,1,F,20,NINGUNO,SOLTERO,SIN OFICIO,LICENCIATURA,1.0,M,51 a 55,NE,NE,NE,430143
1,46,2018/01/02,19,1,M,40,NINGUNO,CASADO,SIN OFICIO,SECUNDARIA,1.0,M,41 a 45,NE,NE,NE,430143
1,46,2017/12/26,8,1,F,41,ESPOSO (A),CASADO,EMPLEADO,LICENCIATURA,1.0,M,45,CASADO,EMPLEADO,LICENCIATURA,430143
1,46,2017/01/02,23,1,F,40,NINGUNO,CASADO,HOGAR,LICENCIATURA,1.0,M,32,CASADO,EMPLEADO,LICENCIATURA,430143
1,46,2017/12/25,20,1,M,69,HIJO(A),CASADO,PENSIONADO,PRIMARIA,1.0,F,31 a 35,NE,NE,NE,430143
1,48,2017/12/28,22,1,M,52,ESPOSO (A),CASADO,PROFESIONISTA,LICENCIATURA,1.0,F,33,CASADO,HOGAR,SECUNDARIA,296954
1,48,2017/01/03,7,1,M,21,NINGUNO,UNIÓN LIBRE,HOGAR,PRIMARIA,1.0,M,23,UNIÓN LIBRE,HOGAR,SECUNDARIA,296954
1,25,2018/01/02,20,1,F,25,EXESPOSO (A),SOLTERO,SIN OFICIO,SECUNDARIA,1.0,M,40,CASADO,EMPLEADO,SECUNDARIA,67294
1,31,2018/01/02,20,2,M F,11 51,MADRE HIJO(A),SOLTERO SOLTERO,ESTUDIANTE EMPLEADO,PRIMARIA SECUNDARIA,1.0,F,29,CASADO,HOGAR,SECUNDARIA,333481
1,38,2017/12/31,21,2,F F,14 52,HIJO(A) ESPOSO (A),SOLTERO CASADO,SIN OFICIO EMPLEADO,SECUNDARIA SECUNDARIA,1.0,M,56,CASADO,ALBAÑIL,PRIMARIA,60829
1,39,2017/01/01,8,2,M F,4 25,HIJO(A) CONCUBINO (A),SOLTERO UNIÓN LIBRE,SIN OFICIO HOGAR,NINGUNA NINGUNA,2.0,M F,27 NE,UNIÓN LIBRE CASADO,ALBAÑIL NE,PRIMARIA PRIMARIA,1109171
1,39,2018/01/04,5,1,F,NE,NE,NE,NE,NE,1.0,M,34,UNIÓN LIBRE,EMPLEADO,PREPARATORIA,1109171
1,18,2018/01/06,1,1,F,28,CONCUBINO (A),UNIÓN LIBRE,HOGAR,SECUNDARIA,1.0,M,30,UNIÓN LIBRE,EMPLEADO,SECUNDARIA,247370
1,18,2018/01/05,22,1,F,39,NINGUNO,UNIÓN LIBRE,HOGAR,SECUNDARIA,1.0,M,19,SOLTERO,SIN OFICIO,SECUNDARIA,247370
1,39,2017/12/29,13,1,F,19,CONCUBINO (A),SOLTERO,EMPLEADO,SECUNDARIA,1.0,M,21 a 25,SOLTERO,NE,SECUNDARIA,1109171
1,39,2018/01/02,16,1,M,48,NINGUNO,UNIÓN LIBRE,EMPLEADO,PRIMARIA,1.0,F,34,UNIÓN LIBRE,NE,SECUNDARIA,1109171
1,45,2017/01/05,19,1,F,30,NINGUNO,UNIÓN LIBRE,EMPLEADO,PRIMARIA,1.0,M,38,UNIÓN LIBRE,EMPLEADO,SECUNDARIA,54192
1,18,2018/01/06,22,1,F,27,NINGUNO,UNIÓN LIBRE,OBRERO,SECUNDARIA,1.0,M,24,UNIÓN LIBRE,ALBAÑIL,SECUNDARIA,247370
1,26,2018/01/07,1,1,F,36,CONCUBINO (A),UNIÓN LIBRE,EMPLEADO,SECUNDARIA,1.0,M,35,SOLTERO,EMPLEADO,PREPARATORIA,682880
1,12,2018/01/07,1,2,M F,17 30,PADRE NINGUNO,SOLTERO SOLTERO,SIN OFICIO EMPLEADO,SECUNDARIA PREPARATORIA,1.0,M,39,UNIÓN LIBRE,SIN OFICIO,PRIMARIA,42715
1,21,2018/01/07,0,2,F F,13 33,NINGUNO ESPOSO (A),SOLTERO CASADO,ESTUDIANTE HOGAR,PRIMARIA SECUNDARIA,1.0,M,38,CASADO,EMPLEADO,LICENCIATURA,425148
1,26,2018/01/05,23,3,F F F,5 6 33,NINGUNO NINGUNO NINGUNO,SOLTERO SOLTERO UNIÓN LIBRE,ESTUDIANTE ESTUDIANTE HOGAR,PRIMARIA PRIMARIA TÉCNICO / COMERCIO,1.0,M,42,UNIÓN LIBRE,POLICÍA MUNICIPAL,PREPARATORIA,682880
